id,nschcode,Rid,Index1,time,quadtime,orthtime,orthquad,test,effective,ses,timenonlin1,timenonlin2,timenonlin3,timenonlin
1,1,1,1,0,0,-1,1,49.66,0,0.586,0,0,0,0
1,1,1,2,1,1,0,-2,50.09,0,0.586,0.5,0.6,0.7,0.529
1,1,1,3,2,4,1,1,54.72,0,0.586,1,1,1,1
2,1,2,1,0,0,-1,1,47.92,0,0.304,0,0,0,0
2,1,2,2,1,1,0,-2,58.26,0,0.304,0.5,0.6,0.7,0.529
2,1,2,3,2,4,1,1,64.33,0,0.304,1,1,1,1
3,1,3,1,0,0,-1,1,49.12,0,-0.544,0,0,0,0
3,1,3,2,1,1,0,-2,50.63,0,-0.544,0.5,0.6,0.7,0.529
3,1,3,3,2,4,1,1,55.74,0,-0.544,1,1,1,1
4,1,4,1,0,0,-1,1,38.77,0,-0.848,0,0,0,0
4,1,4,2,1,1,0,-2,50.93,0,-0.848,0.5,0.6,0.7,0.529
4,1,4,3,2,4,1,1,46.12,0,-0.848,1,1,1,1
5,1,5,1,0,0,-1,1,47.5378,1,0.001,0,0,0,0
5,1,5,2,1,1,0,-2,51.532,1,0.001,0.5,0.6,0.7,0.529
5,1,5,3,2,4,1,1,60.89576318,1,0.001,1,1,1,1
6,1,6,1,0,0,-1,1,41.74,1,-0.106,0,0,0,0
6,1,6,2,1,1,0,-2,48.82,1,-0.106,0.5,0.6,0.7,0.529
6,1,6,3,2,4,1,1,54.55,1,-0.106,1,1,1,1
7,1,7,1,0,0,-1,1,32.83,0,-0.33,0,0,0,0
7,1,7,2,1,1,0,-2,42.43,0,-0.33,0.5,0.6,0.7,0.529
7,1,7,3,2,4,1,1,48.73,0,-0.33,1,1,1,1
8,1,8,1,0,0,-1,1,55.91,0,-0.891,0,0,0,0
8,1,8,2,1,1,0,-2,56.36,0,-0.891,0.5,0.6,0.7,0.529
8,1,8,3,2,4,1,1,60.91,0,-0.891,1,1,1,1
9,1,9,1,0,0,-1,1,52.93,0,0.207,0,0,0,0
9,1,9,2,1,1,0,-2,63.75,0,0.207,0.5,0.6,0.7,0.529
9,1,9,3,2,4,1,1,68.37,0,0.207,1,1,1,1
10,1,10,1,0,0,-1,1,39.47,0,-0.341,0,0,0,0
10,1,10,2,1,1,0,-2,42.3,0,-0.341,0.5,0.6,0.7,0.529
10,1,10,3,2,4,1,1,44.15,0,-0.341,1,1,1,1
11,1,11,1,0,0,-1,1,42.69,0,-0.171,0,0,0,0
11,1,11,2,1,1,0,-2,52.43,0,-0.171,0.5,0.6,0.7,0.529
11,1,11,3,2,4,1,1,56.36,0,-0.171,1,1,1,1
12,1,12,1,0,0,-1,1,48.64,0,-1.068,0,0,0,0
